season,player,player_id,age,team,pos,g,gs,mp,per,ts_percent,x3p_ar,f_tr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp
2026,Kyshawn George,georgky01,22.0,WAS,SF,27,27.0,860.0,13.1,0.586,0.467,0.219,2.9,15.4,9.2,23.0,1.5,2.4,19.8,20.9,0.1,0.3,0.4,0.023,-1.1,-0.8,-1.9,0.0
2026,Josh Giddey,giddejo01,23.0,CHI,PG,30,30.0,984.0,19.3,0.578,0.338,0.371,3.8,24.6,14.4,39.8,1.3,1.0,17.7,25.6,1.3,0.9,2.2,0.109,2.6,0.3,3.0,1.2
2026,Shai Gilgeous-Alexander,gilgesh01,27.0,OKC,PG,33,33.0,1097.0,32.7,0.681,0.25,0.461,1.7,13.4,7.8,33.1,2.3,2.1,7.5,33.0,6.1,2.3,8.4,0.367,9.7,3.4,13.0,4.1
2026,Collin Gillespie,gilleco01,26.0,PHO,PG,33,14.0,932.0,17.2,0.601,0.631,0.109,4.1,12.2,8.0,26.0,2.4,1.1,14.1,20.0,1.7,1.0,2.8,0.142,3.3,0.8,4.1,1.4
2026,Rudy Gobert,goberru01,33.0,MIN,C,34,34.0,1077.0,17.4,0.683,0.0,0.604,13.7,24.3,19.0,8.0,0.9,4.6,14.1,12.5,2.3,1.7,4.1,0.181,-0.1,0.8,0.7,0.7
2026,Jordan Goodwin,goodwjo01,27.0,PHO,PG,30,2.0,639.0,13.7,0.491,0.484,0.098,10.6,14.0,12.2,13.6,3.3,0.7,12.2,19.8,0.1,0.9,1.0,0.075,-0.5,0.8,0.3,0.4
2026,Jerami Grant,grantje01,31.0,POR,PF,26,14.0,789.0,16.3,0.603,0.466,0.458,4.0,10.6,7.2,13.6,1.1,1.8,11.7,24.8,1.4,0.5,1.9,0.116,1.8,-1.3,0.5,0.5
2026,A.J. Green,greenaj01,26.0,MIL,SG,31,31.0,893.0,10.3,0.666,0.913,0.113,0.6,9.7,5.3,9.5,1.1,0.3,9.7,13.2,1.1,0.5,1.6,0.085,-1.1,-1.0,-2.1,0.0
2026,Draymond Green,greendr01,35.0,GSW,PF,28,28.0,763.0,9.8,0.538,0.587,0.18,3.1,20.9,12.0,26.8,1.6,2.6,27.7,17.0,-0.6,1.2,0.6,0.038,-3.0,1.8,-1.2,0.1
2026,Javonte Green,greenja02,32.0,DET,SG,33,3.0,617.0,11.9,0.556,0.517,0.287,4.5,11.7,8.1,5.8,3.2,1.9,9.7,14.3,0.5,1.0,1.5,0.115,-2.0,1.8,-0.2,0.3
2026,Quentin Grimes,grimequ01,25.0,PHI,SG,29,7.0,930.0,12.9,0.583,0.572,0.33,2.0,10.9,6.3,19.1,1.5,1.1,15.3,19.3,0.7,0.8,1.5,0.079,-0.5,-0.6,-1.1,0.2
2026,Mouhamed Gueye,gueyemo02,23.0,ATL,PF,34,3.0,521.0,11.5,0.541,0.423,0.211,8.0,16.1,12.1,7.2,1.8,3.7,10.9,14.0,0.2,0.6,0.8,0.071,-3.1,0.2,-2.9,-0.1
2026,Rui Hachimura,hachiru01,27.0,LAL,PF,27,27.0,877.0,11.1,0.63,0.428,0.14,2.9,10.7,6.9,3.8,0.9,0.7,7.8,14.6,1.0,0.3,1.3,0.07,-0.8,-2.0,-2.8,-0.2
2026,Tim Hardaway Jr.,hardati02,33.0,DEN,SG,33,5.0,880.0,13.3,0.623,0.678,0.173,1.0,8.7,5.0,6.9,0.8,0.3,3.6,17.6,1.6,0.3,1.9,0.103,1.2,-2.4,-1.2,0.2
2026,James Harden,hardeja01,36.0,LAC,PG,30,30.0,1069.0,22.4,0.62,0.542,0.502,1.8,14.1,8.1,36.9,1.8,0.9,14.9,30.8,2.8,0.7,3.5,0.159,5.4,-0.8,4.6,1.8
2026,Tobias Harris,harrito02,33.0,DET,PF,23,23.0,631.0,14.0,0.566,0.381,0.27,4.2,14.0,9.2,12.4,1.1,0.9,7.8,19.1,1.0,0.7,1.7,0.129,0.4,-0.4,0.0,0.3
2026,Isaiah Hartenstein,harteis01,27.0,OKC,C,24,24.0,645.0,19.5,0.656,0.022,0.317,14.5,27.3,21.3,15.0,2.0,2.8,19.6,17.0,1.3,1.7,2.9,0.219,0.6,2.3,2.9,0.8
2026,Josh Hart,hartjo01,30.0,NYK,SF,28,14.0,849.0,16.5,0.611,0.436,0.189,6.2,23.2,14.5,22.1,2.2,0.9,17.6,16.8,1.4,1.1,2.6,0.144,1.8,1.7,3.5,1.2
2026,Sam Hauser,hausesa01,28.0,BOS,PF,32,5.0,689.0,10.1,0.533,0.883,0.028,3.6,14.5,9.0,7.4,1.2,1.5,7.7,14.6,0.5,0.6,1.1,0.075,-0.4,-0.7,-1.1,0.2
2026,Buddy Hield,hieldbu01,33.0,GSW,SG,31,3.0,545.0,11.0,0.547,0.652,0.088,4.0,11.6,7.8,12.2,2.2,0.5,13.5,18.9,-0.1,0.7,0.6,0.053,-2.1,0.0,-2.1,0.0
